"Latest: Wavelength (nm)","Latest: Intensity (rel)","Run 1: Wavelength (nm)","Run 1: Intensity (rel)"
400.393921306,0.00511610576923,400.393921306,0.00230192307692
400.60635594,0.00524735576923,400.60635594,0.00238317307692
400.818779688,0.00563798076923,400.818779688,0.00234254807692
401.031192547,0.00607548076923,401.031192547,0.00260504807692
401.243594514,0.00660985576923,401.243594514,0.00323942307692
401.455985588,0.00654735576923,401.455985588,0.00273942307692
401.668365765,0.00680985576923,401.668365765,0.00200817307692
401.880735042,0.00630048076923,401.880735042,0.00247692307692
402.093093416,0.00740985576923,402.093093416,0.00271442307692
402.305440886,0.00826298076923,402.305440886,0.00300192307692
402.517777447,0.00858173076923,402.517777447,0.00254879807692
402.730103098,0.00901610576923,402.730103098,0.00280817307692
402.942417836,0.00907235576923,402.942417836,0.00233317307692
403.154721657,0.00972548076923,403.154721657,0.00301754807692
403.367014559,0.0107098557692,403.367014559,0.00330504807692
403.579296539,0.0101348557692,403.579296539,0.00335817307692
403.791567595,0.00959735576923,403.791567595,0.00273942307692
404.003827724,0.00871923076923,404.003827724,0.00301129807692
404.216076923,0.00724423076923,404.216076923,0.00229879807692
404.428315189,0.00690985576923,404.428315189,0.00253942307692
404.64054252,0.00554110576923,404.64054252,0.00221754807692
404.852758912,0.00564735576923,404.852758912,0.00212067307692
405.064964364,0.00583485576923,405.064964364,0.00269879807692
405.277158871,0.00716923076923,405.277158871,0.00262692307692
405.489342433,0.00815673076923,405.489342433,0.00329879807692
405.701515044,0.00985985576923,405.701515044,0.00378629807692
405.913676704,0.0133879807692,405.913676704,0.00508317307692
406.12582741,0.0188754807692,406.12582741,0.00739254807692
406.337967157,0.0390598557692,406.337967157,0.0144706730769
406.550095945,0.176875480769,406.550095945,0.0622706730769
406.762213769,0.511784855769,406.762213769,0.199476923077
406.974320627,0.739734855769,406.974320627,0.295155048077
407.186416517,0.887556730769,407.186416517,0.383855048077
407.398501436,0.881603605769,407.398501436,0.379064423077
407.610575381,0.797956730769,407.610575381,0.313773798077
407.822638349,0.481369230769,407.822638349,0.173467548077
408.034690337,0.253837980769,408.034690337,0.0859362980769
408.246731343,0.0729473557692,408.246731343,0.0230737980769
408.458761364,0.0194973557692,408.458761364,0.00681754807692
408.670780397,0.00995360576923,408.670780397,0.00358942307692
408.88278844,0.00820985576923,408.88278844,0.00308629807692
409.094785489,0.00777860576923,409.094785489,0.00301754807692
409.306771542,0.00798173076923,409.306771542,0.00273942307692
409.518746597,0.0123817307692,409.518746597,0.00385504807692
409.73071065,0.0452098557692,409.73071065,0.0128769230769
409.942663698,0.0983254807692,409.942663698,0.0295831730769
410.154605739,0.133831730769,410.154605739,0.0410987980769
