"Latest: Wavelength (nm)","Latest: Intensity (rel)"
380.16339752,0.00198485576923
380.376853754,0.00283485576923
380.590299363,0.00178173076923
380.803734346,0.00245048076923
381.017158699,0.00187860576923
381.230572419,0.00238798076923
381.443975504,0.00222235576923
381.657367951,0.00277235576923
381.870749757,0.00253485576923
382.08412092,0.00297548076923
382.297481437,0.00269735576923
382.510831304,0.00284735576923
382.72417052,0.00253173076923
382.937499081,0.00307235576923
383.150816985,0.00250985576923
383.364124229,0.00243485576923
383.577420811,0.00250360576923
383.790706726,0.00247548076923
384.003981974,0.00229735576923
384.21724655,0.00346298076923
384.430500452,0.00230048076923
384.643743678,0.00259735576923
384.856976225,0.00272860576923
385.070198089,0.00315048076923
385.283409269,0.00217860576923
385.496609761,0.00250673076923
385.709799563,0.00302235576923
385.922978672,0.00312235576923
386.136147085,0.00292235576923
386.349304799,0.00318798076923
386.562451812,0.00306298076923
386.775588121,0.00347235576923
386.988713723,0.00218173076923
387.201828615,0.00333485576923
387.414932795,0.00276610576923
387.62802626,0.00282548076923
387.841109007,0.00310360576923
388.054181033,0.00276923076923
388.267242336,0.00316610576923
388.480292913,0.00372860576923
388.693332761,0.00289110576923
388.906361877,0.00364735576923
389.119380259,0.00334423076923
389.332387904,0.00350360576923
389.545384809,0.00334735576923
389.758370971,0.00326298076923
389.971346388,0.00332860576923
390.184311056,0.00372860576923
390.397264974,0.00307860576923
390.610208138,0.00308798076923
390.823140546,0.00334110576923
391.036062194,0.00328173076923
391.24897308,0.00352235576923
391.461873202,0.00338798076923
391.674762556,0.00393173076923
391.88764114,0.00365360576923
392.100508951,0.00324110576923
392.313365987,0.00322235576923
392.526212243,0.00290048076923
392.739047719,0.00330048076923
392.951872411,0.00309423076923
393.164686316,0.00324423076923
393.377489431,0.00285673076923
393.590281754,0.00270985576923
393.803063282,0.00279735576923
394.015834013,0.00321298076923
394.228593943,0.00345985576923
394.441343069,0.00315360576923
394.65408139,0.00286610576923
394.866808902,0.00275985576923
395.079525602,0.00267860576923
395.292231488,0.00289110576923
395.504926557,0.00287860576923
395.717610806,0.00249110576923
395.930284233,0.00299735576923
396.142946834,0.00271923076923
396.355598607,0.00307548076923
