"Latest: Time (s)","Latest: Temperature (°C)"
49,22.9995158864
49.5,22.9995158864
50,22.9995158864
50.5,22.9995158864
51,22.9995158864
51.5,22.9995158864
52,22.9995158864
52.5,22.9995158864
53,22.9995158864
53.5,22.9995158864
54,22.9995158864
54.5,22.9995158864
55,22.9995158864
55.5,23.0620158873
56,22.9995158864
56.5,22.9995158864
57,22.9995158864
57.5,23.0620158873
58,22.9995158864
58.5,23.0620158873
59,23.0620158873
59.5,22.9995158864
60,23.0620158873
60.5,23.0620158873
61,23.0620158873
61.5,23.0620158873
62,23.0620158873
62.5,23.0620158873
63,23.0620158873
63.5,23.0620158873
64,23.0620158873
64.5,23.0620158873
65,23.0620158873
65.5,22.9995158864
66,23.0620158873
66.5,23.0620158873
67,23.0620158873
67.5,22.9995158864
68,22.9995158864
68.5,22.9995158864
69,23.0620158873
69.5,23.0620158873
70,22.9995158864
70.5,22.9995158864
71,22.9995158864
71.5,23.0620158873
72,22.9995158864
72.5,22.9995158864
73,22.9995158864
73.5,22.9995158864
74,22.9995158864
74.5,22.9995158864
75,22.9995158864
75.5,22.9995158864
76,23.0620158873
76.5,22.9995158864
77,22.9995158864
77.5,22.9995158864
78,22.9995158864
78.5,22.9995158864
79,22.9995158864
79.5,22.9995158864
80,22.9995158864
80.5,22.9995158864
81,22.9995158864
81.5,22.9995158864
82,22.9995158864
82.5,22.9995158864
83,22.9995158864
83.5,22.9995158864
84,22.9995158864
84.5,22.9995158864
85,22.9995158864
85.5,22.9995158864
86,22.9995158864
86.5,22.9995158864
87,22.9995158864
87.5,22.9995158864
88,22.9995158864
88.5,22.9995158864
89,22.9995158864
89.5,22.9995158864
90,22.9995158864
90.5,22.9995158864
91,22.9995158864
91.5,22.9995158864
92,22.9995158864
92.5,22.9995158864
93,22.9995158864
93.5,22.9995158864
94,22.9995158864
94.5,22.9995158864
95,22.9995158864
95.5,22.9995158864
96,22.9995158864
96.5,22.9995158864
97,22.9995158864
97.5,22.9995158864
98,22.9995158864
98.5,22.9995158864
99,22.9995158864
99.5,22.9995158864
100,22.9995158864
100.5,22.9995158864
101,22.9995158864
101.5,22.9995158864
102,22.9995158864
102.5,22.9995158864
103,22.9995158864
103.5,22.9995158864
104,22.9995158864
104.5,22.9995158864
105,22.9995158864
105.5,22.9995158864
106,22.9995158864
106.5,22.9995158864
107,22.9995158864
107.5,22.9995158864
108,22.9995158864
108.5,22.9995158864
109,22.9995158864
109.5,22.9995158864
110,22.9995158864
110.5,22.9995158864
111,22.9995158864
111.5,22.9995158864
112,22.9995158864
112.5,22.9995158864
113,22.9995158864
113.5,22.9995158864
114,22.9995158864
114.5,22.9995158864
115,22.9995158864
115.5,22.9995158864
116,22.9995158864
116.5,22.9995158864
117,22.9995158864
117.5,22.9995158864
118,22.9995158864
118.5,22.9995158864
119,22.9995158864
119.5,22.9995158864
120,22.9995158864
120.5,22.9995158864
121,22.9995158864
121.5,22.9995158864
122,22.9995158864
122.5,22.9995158864
123,22.9995158864
123.5,22.9995158864
124,22.9995158864
124.5,22.9995158864
125,22.9995158864
125.5,22.9995158864
126,22.9995158864
126.5,22.9995158864
127,22.9995158864
127.5,22.9995158864
128,22.9995158864
128.5,22.9995158864
129,22.9995158864
129.5,22.9995158864
130,22.9995158864
130.5,22.9995158864
131,22.9995158864
131.5,22.9995158864
132,22.9995158864
132.5,22.9995158864
133,22.9995158864
133.5,22.9995158864
134,22.9995158864
134.5,22.9995158864
135,22.9995158864
135.5,22.9995158864
136,22.9995158864
136.5,22.9995158864
137,22.9995158864
137.5,22.9995158864
138,22.9995158864
138.5,22.9995158864
139,22.9995158864
139.5,22.9995158864
140,22.9995158864
140.5,22.9995158864
141,22.9995158864
141.5,22.9995158864
142,22.9995158864
142.5,22.9995158864
143,22.9995158864
143.5,22.9995158864
144,22.9995158864
144.5,22.9995158864
145,22.9995158864
145.5,22.9995158864
146,22.9995158864
146.5,22.9995158864
147,22.9995158864
147.5,22.9995158864
148,22.9995158864
148.5,22.9995158864
149,22.9995158864
149.5,22.9995158864
150,22.9995158864
150.5,22.9995158864
151,22.9995158864
151.5,22.9995158864
152,22.9995158864
152.5,22.9995158864
153,22.9995158864
153.5,22.9995158864
154,22.9995158864
154.5,22.9995158864
155,22.9995158864
155.5,22.9995158864
156,22.9995158864
156.5,22.9995158864
157,22.9995158864
157.5,22.9995158864
158,22.9995158864
158.5,22.9995158864
159,22.9995158864
159.5,22.9995158864
160,22.9995158864
160.5,22.9995158864
161,22.9995158864
161.5,22.9995158864
162,22.9995158864
162.5,22.9995158864
163,22.9995158864
163.5,22.9995158864
164,22.9995158864
164.5,22.9995158864
165,22.9995158864
165.5,22.9995158864
166,22.9995158864
166.5,22.9995158864
167,22.9995158864
167.5,22.9995158864
168,22.9995158864
168.5,22.9995158864
169,22.9995158864
169.5,22.9995158864
170,22.9995158864
170.5,22.9995158864
171,22.9995158864
171.5,22.9995158864
172,22.9995158864
172.5,22.9995158864
173,22.9995158864
173.5,22.9995158864
174,22.9995158864
174.5,22.9995158864
175,22.9995158864
175.5,22.9995158864
176,22.9995158864
176.5,22.9995158864
177,22.9995158864
177.5,22.9995158864
178,22.9995158864
178.5,22.9995158864
179,22.9995158864
179.5,22.9995158864
180,22.9995158864
180.5,22.9995158864
181,22.9995158864
181.5,22.9995158864
182,22.9995158864
182.5,22.9995158864
183,22.9995158864
183.5,22.9995158864
184,22.9995158864
184.5,22.9995158864
185,22.9995158864
185.5,22.9995158864
186,22.9995158864
186.5,22.9995158864
187,22.9995158864
187.5,22.9995158864
188,22.9995158864
188.5,22.9995158864
189,22.9995158864
189.5,22.9995158864
190,22.9995158864
190.5,22.9995158864
191,22.9995158864
191.5,22.9995158864
192,22.9995158864
192.5,22.9995158864
193,22.9995158864
193.5,22.9995158864
194,22.9995158864
194.5,22.9995158864
195,22.9995158864
195.5,22.9995158864
196,22.9995158864
196.5,22.9995158864
197,22.9995158864
197.5,22.9995158864
198,22.9995158864
198.5,22.9995158864
199,22.9995158864
199.5,22.9995158864
200,22.9995158864
200.5,22.9995158864
201,22.9995158864
201.5,22.9995158864
202,22.9995158864
202.5,22.9995158864
203,22.9995158864
203.5,22.9995158864
204,22.9995158864
204.5,22.9995158864
205,22.9995158864
205.5,22.9995158864
206,22.9995158864
206.5,22.9995158864
207,22.9995158864
207.5,22.9995158864
208,22.9995158864
208.5,22.9995158864
209,22.9995158864
209.5,22.9995158864
210,22.9995158864
210.5,22.9995158864
211,22.9995158864
211.5,22.9995158864
212,22.9995158864
212.5,22.9995158864
213,22.9995158864
213.5,22.9995158864
214,22.9995158864
214.5,22.9995158864
215,22.9995158864
215.5,22.9995158864
216,22.9995158864
216.5,22.9995158864
217,22.9995158864
217.5,22.9995158864
218,22.9995158864
218.5,22.9995158864
219,22.9995158864
219.5,22.9995158864
220,22.9995158864
220.5,22.9995158864
221,22.9995158864
221.5,22.9995158864
222,22.9995158864
222.5,22.9995158864
223,22.9995158864
223.5,22.9995158864
224,22.9995158864
224.5,22.9995158864
225,22.9995158864
225.5,22.9995158864
226,22.9995158864
226.5,22.9995158864
227,22.9995158864
227.5,22.9995158864
228,22.9995158864
228.5,22.9995158864
229,22.9995158864
229.5,22.9995158864
230,22.9995158864
230.5,22.9995158864
231,22.9995158864
231.5,22.9995158864
232,22.9995158864
232.5,22.9995158864
233,22.9995158864
233.5,22.9995158864
234,22.9995158864
234.5,22.9995158864
235,22.9995158864
235.5,22.9995158864
236,22.9995158864
236.5,22.9995158864
237,22.9995158864
237.5,22.9995158864
238,22.9995158864
238.5,22.9995158864
239,22.9995158864
239.5,22.9995158864
240,22.9995158864
240.5,22.9995158864
241,22.9995158864
241.5,22.9995158864
242,22.9995158864
242.5,22.9995158864
243,22.9995158864
243.5,22.9995158864
244,22.9995158864
244.5,22.9995158864
245,22.9995158864
245.5,22.9995158864
246,22.9995158864
246.5,22.9995158864
247,22.9995158864
247.5,22.9995158864
248,22.9995158864
248.5,22.9995158864
249,22.9995158864
249.5,22.9995158864
250,22.9995158864
250.5,22.9995158864
251,22.9995158864
251.5,22.9995158864
252,22.9995158864
252.5,22.9995158864
253,22.9995158864
253.5,22.9995158864
254,22.9995158864
254.5,22.9995158864
255,22.9995158864
255.5,22.9995158864
256,22.9995158864
256.5,22.9995158864
257,22.9995158864
257.5,22.9995158864
258,22.9995158864
258.5,22.9995158864
259,22.9995158864
259.5,22.9995158864
260,22.9995158864
260.5,22.9995158864
261,22.9995158864
261.5,22.9995158864
262,22.9995158864
262.5,22.9995158864
263,22.9995158864
263.5,22.9995158864
264,22.9995158864
264.5,22.9995158864
265,22.9995158864
265.5,22.9995158864
266,22.9995158864
266.5,22.9995158864
267,22.9995158864
267.5,22.9995158864
268,22.9995158864
268.5,22.9995158864
269,22.9995158864
269.5,22.9995158864
270,22.9995158864
270.5,22.9995158864
271,22.9995158864
271.5,22.9995158864
272,22.9995158864
272.5,22.9995158864
273,22.9995158864
273.5,22.9995158864
274,22.9995158864
274.5,22.9995158864
275,22.9995158864
275.5,22.9995158864
276,22.9995158864
276.5,22.9995158864
277,22.9995158864
277.5,22.9995158864
278,22.9995158864
278.5,22.9995158864
279,22.9995158864
279.5,22.9995158864
280,22.9995158864
280.5,22.9995158864
281,22.9995158864
281.5,22.9995158864
282,22.9995158864
282.5,22.9995158864
283,22.9995158864
283.5,22.9995158864
284,22.9995158864
284.5,22.9995158864
285,22.9995158864
285.5,22.9995158864
286,22.9995158864
286.5,22.9995158864
287,22.9995158864
287.5,22.9995158864
288,22.9995158864
288.5,22.9995158864
289,22.9995158864
289.5,22.9995158864
290,22.9995158864
290.5,22.9995158864
291,22.9995158864
291.5,22.9995158864
292,22.9995158864
292.5,22.9995158864
293,22.9995158864
293.5,22.9995158864
294,22.9995158864
294.5,22.9995158864
295,22.9995158864
295.5,22.9995158864
296,22.9995158864
296.5,22.9995158864
297,22.9995158864
297.5,22.9995158864
298,22.9995158864
298.5,22.9995158864
299,22.9995158864
299.5,22.9995158864
300,22.9995158864
300.5,22.9995158864
301,22.9995158864
301.5,22.9995158864
302,22.9995158864
302.5,22.9995158864
303,22.9995158864
303.5,22.9995158864
304,22.9995158864
304.5,22.9995158864
305,22.9995158864
305.5,22.9995158864
306,22.9995158864
306.5,22.9995158864
307,22.9995158864
307.5,22.9995158864
308,22.9995158864
308.5,22.9995158864
309,22.9995158864
309.5,22.9995158864
310,22.9995158864
310.5,22.9995158864
311,22.9995158864
311.5,22.9995158864
312,22.9995158864
312.5,22.9995158864
313,22.9995158864
313.5,22.9995158864
314,22.9995158864
314.5,22.9995158864
315,22.9995158864
315.5,22.9995158864
316,22.9995158864
316.5,22.9995158864
317,22.9995158864
317.5,22.9995158864
318,22.9995158864
318.5,22.9995158864
319,22.9995158864
319.5,22.9995158864
320,22.9995158864
320.5,22.9995158864
321,22.9995158864
321.5,22.9995158864
322,22.9995158864
322.5,22.9995158864
323,22.9995158864
323.5,22.9995158864
324,22.9995158864
324.5,22.9995158864
325,22.9995158864
325.5,22.9995158864
326,22.9995158864
326.5,22.9995158864
327,22.9995158864
327.5,22.9995158864
328,22.9995158864
328.5,22.9995158864
329,22.9995158864
329.5,22.9995158864
330,22.9995158864
330.5,22.9995158864
331,22.9995158864
331.5,22.9995158864
332,22.9995158864
332.5,22.9995158864
333,22.9995158864
333.5,22.9995158864
334,22.9995158864
334.5,22.9995158864
335,22.9995158864
335.5,22.9995158864
336,22.9995158864
336.5,22.9995158864
337,22.9995158864
337.5,22.9995158864
338,22.9995158864
338.5,22.9995158864
339,22.9995158864
339.5,22.9995158864
340,22.9995158864
340.5,22.9995158864
341,22.9995158864
341.5,22.9995158864
342,22.9995158864
342.5,22.9995158864
343,22.9995158864
343.5,22.9995158864
344,22.9995158864
344.5,22.9995158864
345,22.9995158864
345.5,22.9995158864
346,22.9995158864
346.5,22.9995158864
347,22.9995158864
347.5,22.9995158864
348,22.9995158864
348.5,22.9995158864
349,22.9995158864
349.5,22.9995158864
350,22.9995158864
350.5,22.9995158864
351,22.9995158864
351.5,22.9995158864
352,22.9995158864
352.5,22.9995158864
353,22.9995158864
353.5,22.9995158864
354,23.0620158873
354.5,23.0620158873
355,23.0620158873
355.5,23.0620158873
356,23.0620158873
356.5,23.0620158873
357,23.0620158873
357.5,23.0620158873
358,23.0620158873
358.5,23.1245158883
359,23.1245158883
359.5,23.1245158883
360,23.1245158883
