"group3 - RawData"
"Wavelength nm.","Abs."
529.80,0.033
529.85,0.035
529.90,0.036
529.95,0.034
530.00,0.034
530.05,0.032
530.10,0.033
530.15,0.034
530.20,0.031
530.25,0.032
530.30,0.030
530.35,0.031
530.40,0.032
530.45,0.030
530.50,0.030
530.55,0.034
530.60,0.041
530.65,0.045
530.70,0.044
530.75,0.045
530.80,0.044
530.85,0.044
530.90,0.042
530.95,0.041
531.00,0.041
531.05,0.042
531.10,0.041
531.15,0.042
531.20,0.039
531.25,0.039
531.30,0.038
531.35,0.037
531.40,0.036
531.45,0.037
531.50,0.038
531.55,0.035
531.60,0.035
531.65,0.035
531.70,0.036
531.75,0.034
531.80,0.034
531.85,0.035
531.90,0.033
531.95,0.030
532.00,0.032
532.05,0.033
532.10,0.029
532.15,0.032
532.20,0.030
532.25,0.031
532.30,0.031
532.35,0.029
532.40,0.031
532.45,0.035
532.50,0.043
532.55,0.046
532.60,0.045
532.65,0.046
532.70,0.043
532.75,0.044
532.80,0.044
532.85,0.044
532.90,0.040
532.95,0.043
533.00,0.041
533.05,0.039
533.10,0.039
533.15,0.037
533.20,0.037
533.25,0.037
533.30,0.036
533.35,0.036
533.40,0.036
533.45,0.036
533.50,0.034
533.55,0.033
533.60,0.035
533.65,0.037
533.70,0.032
533.75,0.035
533.80,0.032
533.85,0.032
533.90,0.031
533.95,0.032
534.00,0.031
534.05,0.033
534.10,0.030
534.15,0.030
534.20,0.029
534.25,0.031
534.30,0.032
534.35,0.030
534.40,0.031
534.45,0.039
534.50,0.043
534.55,0.045
534.60,0.045
534.65,0.046
534.70,0.040
534.75,0.046
534.80,0.041
534.85,0.043
534.90,0.042
534.95,0.042
535.00,0.040
535.05,0.040
535.10,0.038
535.15,0.040
535.20,0.038
535.25,0.036
535.30,0.035
535.35,0.035
535.40,0.036
535.45,0.034
535.50,0.036
535.55,0.037
535.60,0.034
535.65,0.036
535.70,0.033
535.75,0.032
535.80,0.032
535.85,0.031
535.90,0.030
535.95,0.033
536.00,0.031
536.05,0.032
536.10,0.029
536.15,0.030
536.20,0.029
536.25,0.030
536.30,0.031
536.35,0.030
536.40,0.028
536.45,0.031
536.50,0.036
536.55,0.045
536.60,0.046
536.65,0.045
536.70,0.045
536.75,0.043
536.80,0.044
536.85,0.043
536.90,0.042
536.95,0.042
537.00,0.040
537.05,0.040
537.10,0.040
537.15,0.038
537.20,0.039
537.25,0.037
537.30,0.038
537.35,0.038
537.40,0.037
537.45,0.036
537.50,0.037
537.55,0.036
537.60,0.036
537.65,0.034
537.70,0.035
537.75,0.036
537.80,0.033
537.85,0.034
537.90,0.031
537.95,0.032
538.00,0.030
538.05,0.032
538.10,0.032
538.15,0.030
538.20,0.030
538.25,0.030
538.30,0.028
538.35,0.030
538.40,0.028
538.45,0.028
538.50,0.029
538.55,0.030
538.60,0.037
538.65,0.046
538.70,0.045
538.75,0.045
538.80,0.044
538.85,0.044
538.90,0.043
538.95,0.044
539.00,0.043
539.05,0.041
539.10,0.039
539.15,0.042
539.20,0.042
539.25,0.037
539.30,0.040
539.35,0.036
539.40,0.037
539.45,0.039
539.50,0.038
539.55,0.038
539.60,0.037
539.65,0.037
539.70,0.035
539.75,0.035
539.80,0.032
539.85,0.034
539.90,0.031
539.95,0.031
540.00,0.032
540.05,0.032
540.10,0.031
540.15,0.029
540.20,0.030
540.25,0.029
540.30,0.031
540.35,0.027
540.40,0.028
540.45,0.027
540.50,0.027
540.55,0.026
540.60,0.026
540.65,0.028
540.70,0.028
540.75,0.031
540.80,0.039
540.85,0.043
540.90,0.045
540.95,0.044
541.00,0.044
541.05,0.044
541.10,0.043
541.15,0.043
541.20,0.042
541.25,0.040
541.30,0.041
541.35,0.039
541.40,0.040
541.45,0.041
541.50,0.038
541.55,0.038
541.60,0.037
541.65,0.038
541.70,0.037
541.75,0.035
541.80,0.035
541.85,0.036
541.90,0.034
541.95,0.034
542.00,0.033
542.05,0.032
542.10,0.033
542.15,0.031
542.20,0.032
542.25,0.030
542.30,0.029
542.35,0.030
542.40,0.029
542.45,0.029
542.50,0.030
542.55,0.028
542.60,0.028
542.65,0.028
542.70,0.028
542.75,0.028
542.80,0.028
542.85,0.031
542.90,0.029
542.95,0.028
543.00,0.028
543.05,0.032
543.10,0.040
543.15,0.046
543.20,0.043
543.25,0.043
543.30,0.044
543.35,0.043
543.40,0.040
543.45,0.041
543.50,0.039
543.55,0.040
543.60,0.040
543.65,0.037
543.70,0.039
543.75,0.037
543.80,0.037
543.85,0.035
543.90,0.036
543.95,0.034
544.00,0.034
544.05,0.035
544.10,0.034
544.15,0.033
544.20,0.032
544.25,0.032
544.30,0.032
544.35,0.031
544.40,0.032
544.45,0.030
544.50,0.031
544.55,0.031
544.60,0.030
544.65,0.028
544.70,0.029
544.75,0.029
544.80,0.029
544.85,0.029
544.90,0.029
544.95,0.031
545.00,0.031
545.05,0.031
545.10,0.027
545.15,0.029
545.20,0.029
545.25,0.028
545.30,0.027
545.35,0.028
545.40,0.028
545.45,0.029
545.50,0.040
545.55,0.044
545.60,0.043
545.65,0.043
545.70,0.040
545.75,0.042
545.80,0.040
545.85,0.040
545.90,0.039
545.95,0.036
546.00,0.039
546.05,0.037
546.10,0.035
546.15,0.035
546.20,0.037
546.25,0.034
546.30,0.034
546.35,0.033
546.40,0.031
