2.504400e+003,5.026711e+001
2.504461e+003,5.026585e+001
2.504521e+003,5.026429e+001
2.504581e+003,5.026247e+001
2.504641e+003,5.026058e+001
2.504702e+003,5.025899e+001
2.504762e+003,5.025806e+001
2.504822e+003,5.025796e+001
2.504883e+003,5.025852e+001
2.504943e+003,5.025921e+001
2.505003e+003,5.025932e+001
2.505063e+003,5.025826e+001
2.505124e+003,5.025580e+001
2.505184e+003,5.025225e+001
2.505244e+003,5.024827e+001
2.505304e+003,5.024462e+001
2.505365e+003,5.024177e+001
2.505425e+003,5.023973e+001
2.505485e+003,5.023807e+001
2.505545e+003,5.023617e+001
2.505606e+003,5.023360e+001
2.505666e+003,5.023040e+001
2.505726e+003,5.022705e+001
2.505787e+003,5.022430e+001
2.505847e+003,5.022277e+001
2.505907e+003,5.022263e+001
2.505967e+003,5.022344e+001
2.506028e+003,5.022438e+001
2.506088e+003,5.022450e+001
2.506148e+003,5.022311e+001
2.506208e+003,5.022000e+001
2.506269e+003,5.021544e+001
2.506329e+003,5.020996e+001
2.506389e+003,5.020407e+001
2.506449e+003,5.019809e+001
2.506510e+003,5.019203e+001
2.506570e+003,5.018580e+001
2.506630e+003,5.017925e+001
2.506690e+003,5.017237e+001
2.506751e+003,5.016525e+001
2.506811e+003,5.015805e+001
2.506871e+003,5.015095e+001
2.506932e+003,5.014404e+001
2.506992e+003,5.013749e+001
2.507052e+003,5.013154e+001
2.507112e+003,5.012661e+001
2.507173e+003,5.012325e+001
2.507233e+003,5.012194e+001
2.507293e+003,5.012296e+001
2.507354e+003,5.012624e+001
2.507414e+003,5.013132e+001
2.507474e+003,5.013757e+001
2.507534e+003,5.014431e+001
2.507594e+003,5.015104e+001
2.507655e+003,5.015742e+001
2.507715e+003,5.016326e+001
2.507775e+003,5.016832e+001
2.507836e+003,5.017223e+001
2.507896e+003,5.017458e+001
2.507956e+003,5.017505e+001
2.508016e+003,5.017361e+001
2.508077e+003,5.017062e+001
2.508137e+003,5.016684e+001
2.508197e+003,5.016311e+001
2.508258e+003,5.016018e+001
2.508318e+003,5.015833e+001
2.508378e+003,5.015749e+001
2.508438e+003,5.015723e+001
2.508499e+003,5.015709e+001
2.508559e+003,5.015678e+001
2.508619e+003,5.015632e+001
2.508679e+003,5.015589e+001
2.508740e+003,5.015569e+001
2.508800e+003,5.015573e+001
2.508860e+003,5.015578e+001
2.508920e+003,5.015543e+001
2.508981e+003,5.015434e+001
2.509041e+003,5.015240e+001
2.509101e+003,5.014981e+001
2.509161e+003,5.014701e+001
2.509222e+003,5.014447e+001
2.509282e+003,5.014249e+001
2.509342e+003,5.014111e+001
2.509403e+003,5.014013e+001
2.509463e+003,5.013921e+001
2.509523e+003,5.013809e+001
2.509583e+003,5.013663e+001
2.509644e+003,5.013484e+001
2.509704e+003,5.013280e+001
2.509764e+003,5.013059e+001
2.509824e+003,5.012825e+001
2.509885e+003,5.012584e+001
2.509945e+003,5.012349e+001
2.510005e+003,5.012137e+001
2.510065e+003,5.011974e+001
2.510126e+003,5.011869e+001
2.510186e+003,5.011815e+001
2.510246e+003,5.011777e+001
2.510307e+003,5.011716e+001
2.510367e+003,5.011602e+001
2.510427e+003,5.011433e+001
2.510487e+003,5.011245e+001
2.510548e+003,5.011098e+001
2.510608e+003,5.011041e+001
2.510668e+003,5.011092e+001
2.510729e+003,5.011215e+001
2.510789e+003,5.011332e+001
2.510849e+003,5.011351e+001
2.510909e+003,5.011208e+001
2.510969e+003,5.010892e+001
2.511030e+003,5.010455e+001
2.511090e+003,5.009985e+001
