2.528929e+003,5.003906e+001
2.528990e+003,5.003713e+001
2.529050e+003,5.003466e+001
2.529110e+003,5.003197e+001
2.529170e+003,5.002922e+001
2.529230e+003,5.002654e+001
2.529291e+003,5.002393e+001
2.529351e+003,5.002138e+001
2.529411e+003,5.001884e+001
2.529472e+003,5.001623e+001
2.529532e+003,5.001345e+001
2.529592e+003,5.001045e+001
2.529652e+003,5.000730e+001
2.529713e+003,5.000422e+001
2.529773e+003,5.000151e+001
2.529833e+003,4.999950e+001
2.529894e+003,4.999828e+001
2.529954e+003,4.999767e+001
2.530014e+003,4.999720e+001
2.530074e+003,4.999632e+001
2.530135e+003,4.999461e+001
2.530195e+003,4.999204e+001
2.530255e+003,4.998899e+001
2.530315e+003,4.998614e+001
2.530375e+003,4.998418e+001
2.530436e+003,4.998344e+001
2.530496e+003,4.998378e+001
2.530556e+003,4.998459e+001
2.530617e+003,4.998511e+001
2.530677e+003,4.998473e+001
2.530737e+003,4.998331e+001
2.530797e+003,4.998118e+001
2.530858e+003,4.997894e+001
2.530918e+003,4.997717e+001
2.530978e+003,4.997608e+001
2.531039e+003,4.997546e+001
2.531099e+003,4.997476e+001
2.531159e+003,4.997338e+001
2.531219e+003,4.997106e+001
2.531280e+003,4.996799e+001
2.531340e+003,4.996478e+001
2.531400e+003,4.996224e+001
2.531460e+003,4.996103e+001
2.531521e+003,4.996138e+001
2.531581e+003,4.996302e+001
2.531641e+003,4.996531e+001
2.531701e+003,4.996737e+001
2.531762e+003,4.996845e+001
2.531822e+003,4.996806e+001
2.531882e+003,4.996600e+001
2.531943e+003,4.996243e+001
2.532003e+003,4.995779e+001
2.532063e+003,4.995268e+001
2.532123e+003,4.994774e+001
2.532184e+003,4.994366e+001
2.532244e+003,4.994089e+001
2.532304e+003,4.993962e+001
2.532365e+003,4.993970e+001
2.532425e+003,4.994061e+001
2.532485e+003,4.994169e+001
2.532545e+003,4.994234e+001
2.532605e+003,4.994222e+001
2.532666e+003,4.994134e+001
2.532726e+003,4.994002e+001
2.532786e+003,4.993867e+001
2.532847e+003,4.993755e+001
2.532907e+003,4.993663e+001
2.532967e+003,4.993563e+001
2.533027e+003,4.993410e+001
2.533088e+003,4.993177e+001
2.533148e+003,4.992867e+001
2.533208e+003,4.992516e+001
2.533268e+003,4.992181e+001
2.533329e+003,4.991912e+001
2.533389e+003,4.991734e+001
2.533449e+003,4.991634e+001
2.533510e+003,4.991570e+001
2.533570e+003,4.991492e+001
2.533630e+003,4.991364e+001
2.533690e+003,4.991180e+001
