"Latest: Wavelength (nm)","Latest: Intensity (rel)"
380.042156416,0.000231009615385
380.253607903,0.000433173076923
380.465048016,0.00053125
380.676476752,0.000551442307692
380.887894108,0.000556730769231
381.099300083,0.000820913461538
381.310694675,0.00078125
381.522077881,0.000373798076923
381.733449699,0.000394711538462
381.944810127,0.000301201923077
382.156159163,0.000839663461538
382.367496804,0.000855048076923
382.578823049,0.000415144230769
382.790137895,0.000469230769231
383.001441341,0.000489903846154
383.212733383,0.000272836538462
383.424014021,0.000933413461538
383.635283251,0.000499278846154
383.846541071,0.000799038461538
384.05778748,0.000536778846154
384.269022475,0.000633894230769
384.480246054,0.000544951923077
384.691458215,0.000230769230769
384.902658956,0.000637980769231
385.113848274,0.000836538461538
385.325026167,0.000777644230769
385.536192634,0.000143990384615
385.747347672,0.000630769230769
385.958491279,0.00059375
386.169623452,0.00114591346154
386.38074419,0.000631971153846
386.591853491,0.000896394230769
386.802951351,0.000310336538462
387.01403777,0.000942788461538
387.225112745,0.000429567307692
387.436176273,0.000627644230769
387.647228353,0.000142067307692
387.858268983,0.000260096153846
388.06929816,0.000256971153846
388.280315882,0.000733173076923
388.491322146,0.000415384615385
388.702316952,0.000751682692308
388.913300296,0.000922836538462
389.124272177,0.000953125
389.335232592,0.000518269230769
389.546181539,0.000642548076923
389.757119016,0.000326442307692
389.968045021,0.00139903846154
390.178959552,0.000590865384615
390.389862606,0.000191105769231
390.600754181,0.000105048076923
390.811634276,0.000414903846154
391.022502887,0.000535817307692
391.233360013,0.000703365384615
391.444205653,0.000473557692308
391.655039802,0.000693269230769
391.86586246,0.000600961538462
392.076673624,0.000354567307692
392.287473292,0.000544230769231
392.498261462,0.000545192307692
392.709038132,0.000295673076923
392.919803299,0.000819711538462
393.130556962,0.00105841346154
393.341299118,0.000714663461538
393.552029764,0.000686538461538
393.7627489,0.000821394230769
393.973456523,0.000888461538462
394.18415263,0.000891586538462
394.394837219,0.00058125
394.605510289,0.00106466346154
394.816171837,0.000340625
395.02682186,0.000643990384615
395.237460358,0.000446634615385
395.448087327,0.000628846153846
395.658702765,0.000615144230769
395.869306671,0.000475961538462
396.079899042,0.000608413461538
396.290479876,0.000441586538462
396.50104917,0.000306971153846
396.711606923,0.000491346153846
396.922153133,0.000499038461538
397.132687797,0.000472115384615
397.343210913,0.000323317307692
397.553722479,0.000895913461538
397.764222493,0.000639663461538
397.974710952,0.000862019230769
398.185187855,0.000686057692308
398.3956532,0.000690865384615
398.606106983,0.000880288461538
398.816549204,0.00119278846154
399.026979859,0.000591826923077
399.237398947,0.000504326923077
399.447806465,0.00106153846154
399.658202412,0.00106875
399.868586785,0.000397596153846
400.078959582,0.000436538461538
400.289320801,0.000722836538462
400.49967044,0.000790865384615
400.710008496,0.000876682692308
400.920334967,0.000989663461538
401.130649852,0.000664423076923
401.340953148,0.00104567307692
401.551244852,0.000578365384615
401.761524963,0.000425721153846
401.971793479,0.000342548076923
402.182050398,0.000620913461538
402.392295716,0.000667788461538
402.602529433,0.000927163461538
402.812751545,0.000970913461538
403.022962052,0.000583173076923
403.233160949,0.000603846153846
403.443348237,0.000660817307692
403.653523911,0.00164278846154
403.863687971,0.000652644230769
404.073840414,0.000764663461538
404.283981237,0.000948317307692
404.494110439,0.000720192307692
404.704228017,0.000825240384615
404.91433397,0.000420192307692
405.124428295,0.000877163461538
405.33451099,0.000659615384615
405.544582052,0.000764663461538
405.754641481,0.000558173076923
405.964689272,0.000719711538462
406.174725425,0.00108629807692
406.384749937,0.00183653846154
406.594762807,0.00568966346154
406.804764031,0.0151677884615
407.014753607,0.0263740384615
407.224731535,0.0380865384615
407.43469781,0.0476771634615
407.644652432,0.0578521634615
407.854595398,0.0539959134615
408.064526705,0.0501177884615
408.274446352,0.0390615384615
408.484354337,0.0307521634615
408.694250657,0.0186802884615
408.904135311,0.0100646634615
409.114008295,0.00411778846154
409.323869608,0.00163653846154
409.533719248,0.000966586538462
409.743557213,0.001125
409.9533835,0.00295216346154
410.163198107,0.00386778846154
410.373001032,0.00611153846154
410.582792274,0.00697091346154
410.792571829,0.00740528846154
411.002339695,0.00751153846154
411.212095871,0.00652403846154
411.421840354,0.00474903846154
411.631573142,0.00350841346154
411.841294234,0.00213966346154
412.051003626,0.00137091346154
412.260701316,0.000905288461538
412.470387303,0.000486298076923
412.680061585,0.000416105769231
412.889724158,0.000995673076923
413.099375021,0.000575721153846
413.309014173,0.000720913461538
413.518641609,0.000736298076923
413.72825733,0.000828365384615
413.937861331,0.000999038461538
414.147453612,0.000828125
414.35703417,0.000827884615385
414.566603003,0.000703125
414.776160108,0.000511538461538
414.985705483,0.000919711538462
415.195239128,0.000549038461538
415.404761038,0.000486298076923
415.614271212,0.00065625
415.823769648,0.000927163461538
416.033256344,0.00130841346154
416.242731297,0.000230769230769
416.452194506,0.000970913461538
416.661645968,0.000463221153846
416.871085681,0.00117091346154
417.080513643,0.000571394230769
417.289929851,0.00116466346154
417.499334304,0.000893269230769
417.708727,0.000985336538462
417.918107935,0.00103125
418.127477109,0.00173341346154
418.336834519,0.00163966346154
418.546180162,0.00234278846154
418.755514037,0.00313653846154
418.964836142,0.00335528846154
419.174146473,0.00311466346154
419.38344503,0.00276153846154
419.59273181,0.00250216346154
419.80200681,0.00175528846154
420.011270029,0.00184591346154
420.220521465,0.00131466346154
420.429761114,0.00110841346154
420.638988976,0.00111153846154
420.848205048,0.000924519230769
421.057409328,0.00129278846154
421.266601813,0.00136418269231
421.475782502,0.00116466346154
421.684951392,0.00171466346154
421.894108481,0.00231466346154
422.103253767,0.00197091346154
422.312387248,0.00287091346154
422.521508922,0.00383653846154
422.730618786,0.00441153846154
422.939716838,0.00457716346154
423.148803077,0.00438341346154
423.3578775,0.00402403846154
423.566940104,0.00369278846154
423.775990888,0.00216466346154
423.98502985,0.00198028846154
424.194056987,0.000986538461538
424.403072297,0.000763221153846
424.612075778,0.000830288461538
424.821067429,0.000802163461538
425.030047246,0.000849038461538
425.239015227,0.00103028846154
425.447971371,0.000757211538462
425.656915675,0.000817307692308
425.865848137,0.000712740384615
426.074768755,0.000415865384615
426.283677526,0.000285576923077
426.49257445,0.000557451923077
426.701459522,0.000465625
426.910332742,0.000752163461538
427.119194107,0.00040625
427.328043615,0.000733413461538
427.536881264,0.000411298076923
427.745707051,0.000780288461538
427.954520975,0.000517548076923
428.163323033,0.000975961538462
428.372113223,0.00102908653846
428.580891543,0.00137091346154
428.789657991,0.00133653846154
428.998412565,0.00219591346154
429.207155262,0.00156778846154
429.41588608,0.00221153846154
429.624605018,0.00190528846154
429.833312072,0.00193028846154
430.042007241,0.00234278846154
430.250690523,0.00157716346154
430.459361915,0.00148653846154
430.668021416,0.00163341346154
430.876669023,0.00118966346154
431.085304734,0.00127403846154
431.293928546,0.000752163461538
431.502540459,0.00103966346154
431.711140469,0.000658413461538
431.919728574,0.00108966346154
432.128304772,0.000661538461538
432.336869062,0.000777163461538
432.54542144,0.000702163461538
432.753961905,0.00124591346154
432.962490455,0.00114903846154
433.171007087,0.000999038461538
433.379511799,0.00120841346154
433.588004589,0.00128629807692
433.796485455,0.00122716346154
434.004954395,0.00112403846154
434.213411406,0.000843990384615
434.421856487,0.000967788461538
434.630289635,0.000380048076923
434.838710848,0.000974038461538
435.047120125,0.000889663461538
435.255517461,0.00107596153846
435.463902857,0.000349038461538
435.672276309,0.00075
435.880637815,0.00164591346154
436.088987373,0.00193653846154
436.297324981,0.00236153846154
436.505650637,0.00334278846154
436.713964339,0.00394278846154
436.922266084,0.00496778846154
437.13055587,0.00529591346154
437.338833696,0.00616153846154
437.547099558,0.00781778846154
437.755353455,0.00861778846154
437.963595385,0.0244959134615
438.171825346,0.0684490384615
438.380043334,0.126117788462
438.588249349,0.172686538462
438.796443388,0.202455288462
439.004625449,0.209974038462
439.212795529,0.169795913462
439.420953627,0.134717788462
439.62909974,0.0903615384615
439.837233867,0.0655865384615
440.045356004,0.0396459134615
440.253466151,0.0209396634615
440.461564304,0.00971778846154
440.669650461,0.00340528846154
440.877724621,0.00167403846154
441.085786781,0.00121153846154
441.29383694,0.000792548076923
441.501875094,0.00100528846154
441.709901242,0.00104879807692
441.917915381,0.000888942307692
442.12591751,0.00024375
442.333907626,0.00141466346154
442.541885727,0.000455769230769
442.749851811,0.000898557692308
442.957805876,0.000735336538462
443.165747919,0.00132716346154
443.373677939,0.000438461538462
443.581595933,0.000526923076923
443.789501899,0.000476442307692
443.997395835,0.000708413461538
444.205277739,0.000459134615385
444.413147609,0.000444711538462
444.621005441,0.000253846153846
444.828851236,0.000800961538462
445.036684989,0.000457451923077
445.244506699,0.00271153846154
445.452316365,0.000623317307692
445.660113982,0.000638942307692
445.867899551,0.000386778846154
446.075673067,0.000790625
446.28343453,0.000418269230769
446.491183937,0.000758413461538
446.698921285,0.000554086538462
446.906646574,0.000634375
447.114359799,0.000367548076923
447.32206096,0.000911057692308
447.529750055,0.000382692307692
447.73742708,0.000558173076923
447.945092034,0.000358173076923
448.152744915,0.000683413461538
448.36038572,0.000686298076923
448.568014448,0.000927644230769
448.775631096,0.000459375
448.983235662,0.000525480769231
449.190828144,0.000272355769231
449.39840854,0.000321394230769
449.605976847,0.000548798076923
449.813533063,0.000593028846154
450.021077187,0.000407692307692
450.228609216,0.000911538461538
450.436129148,0.000694471153846
450.643636981,0.000980288461538
450.851132712,0.000462980769231
451.058616339,0.000653125
451.266087861,0.000681730769231
451.473547275,0.000432451923077
451.680994579,0.000381730769231
451.88842977,0.000487980769231
452.095852848,0.000449278846154
452.303263808,0.000437740384615
452.51066265,0.000608173076923
452.718049372,0.000523798076923
452.92542397,0.000558894230769
453.132786442,0.000947115384615
453.340136788,0.000455048076923
453.547475004,0.00104471153846
453.754801088,0.000649038461538
453.962115039,0.000863461538462
454.169416853,0.000602163461538
454.376706529,0.00117091346154
454.583984065,0.000848317307692
454.791249459,0.00133966346154
454.998502708,0.000472115384615
455.20574381,0.000789423076923
455.412972763,0.000586298076923
455.620189564,0.000666586538462
455.827394213,0.000545673076923
456.034586706,0.000800961538462
456.241767041,0.000514663461538
456.448935217,0.000547115384615
456.656091231,0.000193269230769
456.86323508,0.000638701923077
457.070366763,0.000385096153846
457.277486278,0.000446394230769
457.484593622,0.000418509615385
457.691688794,0.000383173076923
457.89877179,0.000613461538462
458.10584261,0.000447355769231
458.31290125,0.000670673076923
458.519947709,0.000529567307692
458.726981984,0.000846394230769
458.934004073,0.000802644230769
459.141013975,0.000449278846154
459.348011686,0.000814182692308
459.554997205,0.000298798076923
459.76197053,0.000374759615385
459.968931658,0.000381730769231
460.175880588,0.000641826923077
460.382817317,0.000241586538462
460.589741842,0.000617548076923
460.796654163,0.000442788461538
461.003554276,0.000533413461538
461.210442179,0.000224519230769
461.417317871,0.000649519230769
461.624181349,0.000435817307692
461.831032611,0.000480288461538
462.037871655,0.000852163461538
462.244698478,0.000529326923077
462.451513079,0.00056875
462.658315456,0.000777403846154
462.865105605,0.000424759615385
463.071883526,0.000648798076923
463.278649215,0.000662019230769
463.485402671,0.000576923076923
463.692143891,0.000999519230769
463.898872874,0.000184855769231
464.105589617,0.000826923076923
464.312294119,0.000989663461538
464.518986376,0.000283894230769
464.725666386,0.000337259615385
464.932334149,0.000320913461538
465.13898966,0.000980288461538
465.345632919,0.000822115384615
465.552263923,0.000965865384615
465.75888267,0.000858413461538
465.965489157,0.000508173076923
466.172083384,0.000464663461538
466.378665346,0.000848557692308
466.585235043,0.000541586538462
466.791792472,0.000418269230769
466.998337631,0.000514903846154
467.204870517,0.000646875
467.41139113,0.000468028846154
467.617899465,0.000642067307692
467.824395522,0.000390144230769
468.030879298,0.000303365384615
468.237350791,0.00079375
468.443809999,0.000619471153846
468.65025692,0.000490625
468.85669155,0.000570673076923
469.06311389,0.000552163461538
469.269523935,0.000672115384615
469.475921684,0.000550961538462
469.682307136,0.000622596153846
469.888680286,0.000222355769231
470.095041135,0.000426923076923
470.301389678,0.000396634615385
470.507725915,0.000683413461538
470.714049843,0.000669711538462
470.920361459,0.000509855769231
471.126660763,0.000278846153846
471.332947751,0.000276442307692
471.539222421,0.000322115384615
471.745484771,0.000679567307692
471.9517348,0.000581009615385
472.157972504,0.000355528846154
472.364197882,0.000655288461538
472.570410932,0.000748798076923
472.776611651,0.000766586538462
472.982800037,0.000565865384615
473.188976088,0.00074375
473.395139802,0.000789663461538
473.601291177,0.000445673076923
473.80743021,0.000473317307692
474.0135569,0.000495192307692
474.219671244,0.00103341346154
474.42577324,0.000445913461538
474.631862887,0.000441826923077
474.83794018,0.000503365384615
475.04400512,0.000641586538462
475.250057703,0.000343028846154
475.456097927,0.000534855769231
475.66212579,0.000379326923077
475.86814129,0.000426923076923
476.074144425,0.000653365384615
476.280135193,0.000362740384615
476.486113591,0.000475721153846
476.692079618,0.000873557692308
476.89803327,0.000349278846154
477.103974547,0.000618509615385
477.309903445,0.000768269230769
477.515819963,0.000302644230769
477.721724098,0.0002375
477.927615849,0.00186778846154
478.133495213,0.000491105769231
478.339362188,0.000458413461538
478.545216772,0.000306009615385
478.751058962,0.000266105769231
478.956888757,0.000594471153846
479.162706155,0.000458413461538
479.368511152,0.000243269230769
479.574303748,0.000439182692308
479.780083939,0.000316346153846
479.985851724,0.000627644230769
480.191607101,0.00148341346154
480.397350067,0.000412259615385
480.60308062,0.000759375
480.808798759,0.000454086538462
481.01450448,0.000328365384615
481.220197782,0.000821875
481.425878662,0.000521634615385
481.631547119,0.000348076923077
481.837203151,0.000829807692308
482.042846754,0.000378846153846
482.248477927,0.000767788461538
482.454096668,0.000335576923077
482.659702974,0.000219951923077
482.865296844,0.00112115384615
483.070878276,0.000774278846154
483.276447266,0.000361298076923
483.482003813,0.000569711538462
483.687547915,0.000339423076923
483.89307957,0.000443028846154
484.098598775,0.000892307692308
484.304105528,0.000568028846154
484.509599828,0.000272115384615
484.715081672,0.000711298076923
484.920551057,0.000306971153846
485.126007982,0.000566105769231
485.331452444,0.000660817307692
485.536884442,0.000326201923077
