"i2 0.1 nm mskieh - RawData"
"Wavelength nm.","Abs."
549.50,0.097
549.60,0.101
549.70,0.094
549.80,0.097
549.90,0.092
550.00,0.094
550.10,0.093
550.20,0.091
550.30,0.091
550.40,0.094
550.50,0.105
550.60,0.110
550.70,0.108
550.80,0.106
550.90,0.104
551.00,0.098
551.10,0.099
551.20,0.099
551.30,0.098
551.40,0.098
551.50,0.094
551.60,0.097
551.70,0.095
551.80,0.091
551.90,0.094
552.00,0.101
552.10,0.093
552.20,0.099
552.30,0.095
552.40,0.092
552.50,0.097
552.60,0.092
552.70,0.090
552.80,0.090
552.90,0.092
553.00,0.093
553.10,0.105
553.20,0.103
553.30,0.103
553.40,0.102
553.50,0.100
553.60,0.102
553.70,0.099
553.80,0.100
553.90,0.099
554.00,0.097
554.10,0.096
554.20,0.095
554.30,0.093
554.40,0.096
554.50,0.096
554.60,0.097
554.70,0.097
554.80,0.096
554.90,0.091
555.00,0.091
555.10,0.090
555.20,0.092
555.30,0.089
555.40,0.089
555.50,0.089
555.60,0.088
555.70,0.090
555.80,0.097
555.90,0.102
556.00,0.105
556.10,0.098
556.20,0.100
556.30,0.096
556.40,0.097
556.50,0.095
556.60,0.093
556.70,0.098
556.80,0.093
556.90,0.093
557.00,0.089
557.10,0.099
557.20,0.098
557.30,0.100
557.40,0.094
557.50,0.095
557.60,0.090
557.70,0.094
557.80,0.094
557.90,0.089
558.00,0.095
558.10,0.096
558.20,0.091
558.30,0.088
558.40,0.084
558.50,0.083
558.60,0.096
558.70,0.098
558.80,0.096
558.90,0.101
559.00,0.097
559.10,0.093
559.20,0.095
559.30,0.092
559.40,0.098
559.50,0.094
559.60,0.091
559.70,0.093
559.80,0.100
559.90,0.098
560.00,0.098
560.10,0.095
560.20,0.093
560.30,0.091
560.40,0.093
560.50,0.092
560.60,0.090
560.70,0.092
560.80,0.086
560.90,0.086
561.00,0.087
561.10,0.089
561.20,0.086
561.30,0.083
561.40,0.089
561.50,0.093
561.60,0.095
561.70,0.094
561.80,0.095
561.90,0.094
562.00,0.091
562.10,0.091
562.20,0.090
562.30,0.092
562.40,0.086
562.50,0.095
562.60,0.097
562.70,0.098
562.80,0.098
562.90,0.096
563.00,0.092
563.10,0.096
563.20,0.091
563.30,0.088
563.40,0.090
563.50,0.092
563.60,0.087
563.70,0.088
563.80,0.088
563.90,0.085
564.00,0.083
564.10,0.085
564.20,0.083
