"rpcc - RawData"
"Wavelength nm.","Abs."
549.60,0.104
549.70,0.095
549.80,0.098
549.90,0.096
550.00,0.100
550.10,0.097
550.20,0.095
550.30,0.092
550.40,0.096
550.50,0.110
550.60,0.113
550.70,0.110
550.80,0.108
550.90,0.104
551.00,0.102
551.10,0.102
551.20,0.102
551.30,0.099
551.40,0.099
551.50,0.098
551.60,0.101
551.70,0.100
551.80,0.097
551.90,0.099
552.00,0.103
552.10,0.095
552.20,0.100
552.30,0.099
552.40,0.098
552.50,0.101
552.60,0.094
552.70,0.091
552.80,0.090
552.90,0.092
553.00,0.098
553.10,0.111
553.20,0.105
553.30,0.105
553.40,0.107
553.50,0.103
553.60,0.105
553.70,0.101
553.80,0.102
553.90,0.099
554.00,0.099
554.10,0.097
554.20,0.095
554.30,0.095
554.40,0.100
554.50,0.097
554.60,0.102
554.70,0.099
554.80,0.102
554.90,0.099
555.00,0.095
555.10,0.094
555.20,0.092
555.30,0.094
555.40,0.090
555.50,0.093
555.60,0.090
555.70,0.091
555.80,0.101
555.90,0.105
556.00,0.104
556.10,0.102
556.20,0.105
556.30,0.100
556.40,0.098
556.50,0.097
556.60,0.097
556.70,0.099
556.80,0.096
556.90,0.094
557.00,0.092
557.10,0.100
557.20,0.102
557.30,0.102
557.40,0.099
557.50,0.101
557.60,0.095
557.70,0.094
557.80,0.096
557.90,0.094
558.00,0.095
558.10,0.096
558.20,0.090
558.30,0.088
558.40,0.084
558.50,0.087
558.60,0.098
558.70,0.099
558.80,0.097
558.90,0.098
559.00,0.098
559.10,0.096
559.20,0.099
559.30,0.097
559.40,0.096
559.50,0.094
559.60,0.093
559.70,0.099
559.80,0.102
559.90,0.102
560.00,0.099
560.10,0.096
560.20,0.095
560.30,0.096
560.40,0.099
560.50,0.094
560.60,0.092
560.70,0.093
560.80,0.092
560.90,0.090
561.00,0.090
561.10,0.092
561.20,0.085
561.30,0.088
561.40,0.093
561.50,0.098
561.60,0.097
561.70,0.097
561.80,0.097
561.90,0.092
562.00,0.095
562.10,0.096
562.20,0.092
562.30,0.092
562.40,0.088
562.50,0.102
562.60,0.101
562.70,0.097
562.80,0.100
562.90,0.099
563.00,0.096
563.10,0.100
563.20,0.091
563.30,0.089
563.40,0.092
563.50,0.094
563.60,0.089
563.70,0.093
563.80,0.088
563.90,0.089
564.00,0.086
564.10,0.086
564.20,0.090
564.30,0.088
564.40,0.094
564.50,0.096
564.60,0.094
564.70,0.095
564.80,0.093
564.90,0.092
565.00,0.090
565.10,0.091
565.20,0.091
565.30,0.096
565.40,0.101
565.50,0.099
565.60,0.101
565.70,0.097
565.80,0.095
565.90,0.096
566.00,0.094
566.10,0.095
566.20,0.094
566.30,0.094
566.40,0.088
566.50,0.092
566.60,0.091
566.70,0.089
566.80,0.088
566.90,0.087
567.00,0.087
567.10,0.085
567.20,0.083
567.30,0.081
567.40,0.084
567.50,0.093
567.60,0.093
567.70,0.088
567.80,0.092
567.90,0.085
568.00,0.085
568.10,0.087
568.20,0.092
568.30,0.099
568.40,0.098
568.50,0.096
568.60,0.098
568.70,0.095
568.80,0.090
568.90,0.091
569.00,0.091
569.10,0.091
569.20,0.089
569.30,0.092
569.40,0.090
569.50,0.088
569.60,0.087
569.70,0.087
569.80,0.089
569.90,0.086
570.00,0.085
570.10,0.085
570.20,0.083
570.30,0.082
570.40,0.085
570.50,0.086
570.60,0.088
570.70,0.090
570.80,0.087
570.90,0.086
571.00,0.088
571.10,0.086
571.20,0.092
571.30,0.099
571.40,0.093
571.50,0.096
571.60,0.094
571.70,0.095
571.80,0.094
571.90,0.089
572.00,0.089
